Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Ngô,Nắng nhẹ sau mưa,Tỉa thưa cây con,Giúp cây tránh thiếu nước
Đậu phụng,Gió mạnh,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của thối rễ
Thanh long,Trời lạnh buổi sáng,Tỉa thưa cây con,Giúp cây tránh cháy lá
Dưa leo,Trời âm u,Tỉa thưa cây con,Tăng khả năng chống chịu với vàng lá
Xoài,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Giảm nguy cơ ngập úng
Lúa,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Giúp cây tránh suy kiệt
Dưa leo,Trời nhiều mây,Phun chế phẩm sinh học,Bảo vệ cây khỏi rụng hoa
Ngô,Nhiệt độ thấp < 15°C,Phun chế phẩm sinh học,Tăng khả năng chống chịu với nấm bệnh
Cải bẹ,Trời âm u,Trì hoãn gieo trồng,Giảm nguy cơ đạo ôn
Lúa,Gió mạnh,Phun thuốc phòng bệnh,Giảm nguy cơ suy kiệt
Chuối,Gió mạnh,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ thối rễ
Xoài,Nhiều ngày nắng,Dừng bón phân đạm,Bảo vệ cây khỏi sốc nhiệt
Cà chua,Độ ẩm thấp,Phun thuốc phòng bệnh,Giảm nguy cơ thối rễ
Rau màu,Mưa lớn,Trì hoãn gieo trồng,Giảm nguy cơ ngập úng
Dưa hấu,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của sốc nhiệt
Mía,Sương mù dày,Phun thuốc phòng bệnh,Giúp cây tránh nảy mầm kém
Sắn,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Giúp cây tránh thiếu nước
Dưa leo,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Giảm nguy cơ thiếu nước
Cà chua,Mưa rào nhẹ,Theo dõi sát thời tiết,Giảm nguy cơ héo rũ
Ngô,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Giúp cây tránh héo rũ
Thanh long,Mưa lớn,Bón vôi cải tạo đất,Tăng khả năng chống chịu với héo rũ
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Tăng khả năng chống chịu với ngập úng
Chuối,Mưa rào nhẹ,Tưới nhỏ giọt,Giúp cây tránh cháy lá
Rau màu,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi đạo ôn
Ớt,Trời âm u,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của đạo ôn
Xoài,Nhiệt độ cao > 35°C,Tăng cường thoát nước,Bảo vệ cây khỏi ngập úng
Ớt,Gió mạnh,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ cháy lá
Lúa,Trời âm u,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với thiếu nước
Thanh long,Trời nhiều mây,Che chắn bằng lưới,Tăng khả năng chống chịu với héo rũ
Cải bẹ,Sương mù dày,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của héo rũ
Dưa leo,Độ ẩm thấp,Che chắn bằng lưới,Giảm nguy cơ nấm bệnh
Xoài,Sương mù dày,Che chắn bằng lưới,Bảo vệ cây khỏi rụng hoa
Thanh long,Nắng nhẹ sau mưa,Tăng cường thoát nước,Bảo vệ cây khỏi nảy mầm kém
Bắp cải,Có áp thấp nhiệt đới,Tăng cường thoát nước,Bảo vệ cây khỏi suy kiệt
Cà chua,Nhiệt độ cao > 35°C,Trì hoãn gieo trồng,Giảm nguy cơ nấm bệnh
Bắp cải,Trời âm u,Tưới nước định kỳ,Giảm nguy cơ suy kiệt
Ngô,Độ ẩm không khí cao,Bắt sâu thủ công,Hạn chế ảnh hưởng của ngập úng
Xoài,Trời âm u,Trì hoãn gieo trồng,Tăng khả năng chống chịu với rụng hoa
Ớt,Có áp thấp nhiệt đới,Trì hoãn gieo trồng,Bảo vệ cây khỏi thối rễ
Ngô,Mưa rào nhẹ,Bón vôi cải tạo đất,Bảo vệ cây khỏi bạc lá
Xoài,Gió mạnh,Đào mương xung quanh ruộng,Giảm nguy cơ héo rũ
Cà chua,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Tăng khả năng chống chịu với héo rũ
Cà tím,Nhiệt độ dao động mạnh trong ngày,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của ngập úng
Cà tím,Trời nhiều mây,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của cháy lá
Ớt,Trời âm u,Phun chế phẩm sinh học,Giảm nguy cơ bạc lá
Thanh long,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Tăng khả năng chống chịu với bạc lá
Ớt,Trời lạnh buổi sáng,Trì hoãn gieo trồng,Giảm nguy cơ đạo ôn
Cà chua,Gió mạnh,Bắt sâu thủ công,Hạn chế ảnh hưởng của ngập úng
Mía,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giảm nguy cơ vàng lá
Lúa,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Giảm nguy cơ sốc nhiệt
Đậu phụng,Độ ẩm không khí cao,Dừng bón phân đạm,Giảm nguy cơ nấm bệnh
Đậu phụng,Độ ẩm không khí cao,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi suy kiệt
Thanh long,Nắng nhẹ sau mưa,Che chắn bằng lưới,Giúp cây tránh thối rễ
Cải bẹ,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giúp cây tránh nấm bệnh
Ớt,Trời lạnh buổi sáng,Tưới nhỏ giọt,Giúp cây tránh sâu xanh
Xoài,Nhiệt độ dao động mạnh trong ngày,Tưới nhỏ giọt,Hạn chế ảnh hưởng của héo rũ
Lúa,Trời lạnh buổi sáng,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của héo rũ
Dưa leo,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Bảo vệ cây khỏi thối rễ
Bắp cải,Nhiệt độ thấp < 15°C,Bắt sâu thủ công,Bảo vệ cây khỏi suy kiệt
Đậu phụng,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của nảy mầm kém
Dưa hấu,Độ ẩm không khí cao,Trì hoãn gieo trồng,Tăng khả năng chống chịu với thiếu nước
Xoài,Trời lạnh buổi sáng,Tưới nước định kỳ,Hạn chế ảnh hưởng của héo rũ
Đậu phụng,Sương mù dày,Che chắn bằng lưới,Giúp cây tránh đạo ôn
Ngô,Trời nhiều mây,Bắt sâu thủ công,Bảo vệ cây khỏi ngập úng
Cà chua,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Tăng khả năng chống chịu với sâu xanh
Đậu phụng,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Bảo vệ cây khỏi vàng lá
Đậu phụng,Nắng gắt,Tỉa thưa cây con,Bảo vệ cây khỏi thối rễ
Lúa,Độ ẩm không khí cao,Tưới nước định kỳ,Tăng khả năng chống chịu với nảy mầm kém
Thanh long,Nhiều ngày nắng,Đào mương xung quanh ruộng,Bảo vệ cây khỏi bạc lá
Bắp cải,Gió mạnh,Tăng cường thoát nước,Giảm nguy cơ nấm bệnh
Lúa,Nhiệt độ cao > 35°C,Che chắn bằng lưới,Hạn chế ảnh hưởng của sốc nhiệt
Chuối,Nhiều ngày nắng,Theo dõi sát thời tiết,Giúp cây tránh ngập úng
Cải bẹ,Mưa rào nhẹ,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với đạo ôn
Dưa leo,Mưa lớn,Bắt sâu thủ công,Hạn chế ảnh hưởng của ngập úng
Chuối,Có áp thấp nhiệt đới,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của sốc nhiệt
Xoài,Độ ẩm không khí cao,Che chắn bằng lưới,Bảo vệ cây khỏi vàng lá
Xoài,Độ ẩm thấp,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với cháy lá
Mía,Gió mạnh,Đào mương xung quanh ruộng,Giảm nguy cơ nảy mầm kém
Ngô,Mưa lớn,Bắt sâu thủ công,Hạn chế ảnh hưởng của héo rũ
Bắp cải,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Bảo vệ cây khỏi đạo ôn
Sắn,Gió mạnh,Bắt sâu thủ công,Giúp cây tránh sâu xanh
Ngô,Mưa rào nhẹ,Bón vôi cải tạo đất,Bảo vệ cây khỏi ngập úng
Bắp cải,Nắng gắt,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của sốc nhiệt
Sắn,Nắng nhẹ sau mưa,Trì hoãn gieo trồng,Bảo vệ cây khỏi đạo ôn
Bắp cải,Độ ẩm không khí cao,Che chắn bằng lưới,Hạn chế ảnh hưởng của sâu xanh
Xoài,Nắng nhẹ sau mưa,Tỉa thưa cây con,Tăng khả năng chống chịu với héo rũ
Lúa,Mưa rào nhẹ,Tăng cường thoát nước,Giúp cây tránh nảy mầm kém
Lúa,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Tăng khả năng chống chịu với sốc nhiệt
Dưa leo,Trời âm u,Phun chế phẩm sinh học,Tăng khả năng chống chịu với thối rễ
Sắn,Trời lạnh buổi sáng,Bón phân hữu cơ,Tăng khả năng chống chịu với rụng hoa
Xoài,Nhiệt độ dao động mạnh trong ngày,Bón phân hữu cơ,Hạn chế ảnh hưởng của rụng hoa
Chuối,Trời âm u,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của cháy lá
Đậu phụng,Độ ẩm không khí cao,Tưới nước định kỳ,Giảm nguy cơ nấm bệnh
Ngô,Gió mạnh,Tăng cường thoát nước,Hạn chế ảnh hưởng của thiếu nước
Mía,Sương mù dày,Bắt sâu thủ công,Bảo vệ cây khỏi rụng hoa
Xoài,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của suy kiệt
Bắp cải,Nhiều ngày nắng,Theo dõi sát thời tiết,Tăng khả năng chống chịu với rụng hoa
Chuối,Trời âm u,Theo dõi sát thời tiết,Giúp cây tránh thối rễ
Cải bẹ,Mưa lớn,Tăng cường thoát nước,Hạn chế ảnh hưởng của thiếu nước
Lúa,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giảm nguy cơ ngập úng
Cà chua,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Giúp cây tránh nảy mầm kém
Cà tím,Độ ẩm thấp,Bón phân hữu cơ,Giảm nguy cơ bạc lá
Xoài,Mưa rào nhẹ,Trì hoãn gieo trồng,Tăng khả năng chống chịu với cháy lá
Xoài,Trời âm u,Bón phân hữu cơ,Tăng khả năng chống chịu với héo rũ
Mía,Độ ẩm thấp,Tưới nước định kỳ,Tăng khả năng chống chịu với ngập úng
Xoài,Nhiệt độ cao > 35°C,Bón vôi cải tạo đất,Tăng khả năng chống chịu với vàng lá
Xoài,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi thối rễ
Rau màu,Gió mạnh,Bón vôi cải tạo đất,Bảo vệ cây khỏi rụng hoa
Bắp cải,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với nấm bệnh
Dưa hấu,Trời nhiều mây,Đào mương xung quanh ruộng,Tăng khả năng chống chịu với suy kiệt
Cà tím,Mưa rào nhẹ,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của sâu xanh
Cà chua,Sương mù dày,Bón phân hữu cơ,Tăng khả năng chống chịu với đạo ôn
Mía,Mưa rào nhẹ,Tăng cường thoát nước,Giúp cây tránh đạo ôn
Bắp cải,Gió mạnh,Phun thuốc phòng bệnh,Giúp cây tránh cháy lá
Lúa,Sương mù dày,Bắt sâu thủ công,Tăng khả năng chống chịu với ngập úng
Chuối,Trời nhiều mây,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với héo rũ
Mía,Có áp thấp nhiệt đới,Tưới nhỏ giọt,Hạn chế ảnh hưởng của vàng lá
Mía,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Bảo vệ cây khỏi rụng hoa
Cải bẹ,Độ ẩm thấp,Trì hoãn gieo trồng,Bảo vệ cây khỏi thối rễ
Lúa,Độ ẩm thấp,Đào mương xung quanh ruộng,Giúp cây tránh sốc nhiệt
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Giúp cây tránh vàng lá
Rau màu,Mưa rào nhẹ,Phun thuốc phòng bệnh,Giảm nguy cơ thiếu nước
Thanh long,Nắng nhẹ sau mưa,Che phủ rơm/gỗ mục,Giúp cây tránh suy kiệt
Xoài,Nắng nhẹ sau mưa,Tăng cường thoát nước,Giúp cây tránh ngập úng
Rau màu,Trời âm u,Dừng bón phân đạm,Tăng khả năng chống chịu với nấm bệnh
Đậu phụng,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Hạn chế ảnh hưởng của héo rũ
Lúa,Độ ẩm thấp,Che chắn bằng lưới,Giảm nguy cơ thiếu nước
Cà tím,Gió mạnh,Tăng cường thoát nước,Giảm nguy cơ rụng hoa
Rau màu,Gió mạnh,Tỉa thưa cây con,Hạn chế ảnh hưởng của ngập úng
Bắp cải,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Bảo vệ cây khỏi rụng hoa
Sắn,Trời nhiều mây,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của sâu xanh
Cải bẹ,Độ ẩm thấp,Tăng cường thoát nước,Tăng khả năng chống chịu với nảy mầm kém
Cà tím,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Giúp cây tránh nấm bệnh
Cà chua,Trời lạnh buổi sáng,Che chắn bằng lưới,Bảo vệ cây khỏi ngập úng
Dưa hấu,Nhiều ngày nắng,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của bạc lá
Dưa leo,Có áp thấp nhiệt đới,Dừng bón phân đạm,Bảo vệ cây khỏi thiếu nước
Bắp cải,Trời nhiều mây,Che chắn bằng lưới,Giúp cây tránh bạc lá
Sắn,Độ ẩm thấp,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi ngập úng
Đậu phụng,Gió mạnh,Tưới nhỏ giọt,Bảo vệ cây khỏi vàng lá
Mía,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của đạo ôn
Ngô,Nắng gắt,Che phủ rơm/gỗ mục,Giảm nguy cơ nảy mầm kém
Ngô,Trời lạnh buổi sáng,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của nấm bệnh
Cà tím,Nhiệt độ thấp < 15°C,Tưới nước định kỳ,Giảm nguy cơ đạo ôn
Sắn,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Giúp cây tránh ngập úng
Rau màu,Trời nhiều mây,Dừng bón phân đạm,Giúp cây tránh thiếu nước
Sắn,Nắng nhẹ sau mưa,Bón phân hữu cơ,Bảo vệ cây khỏi nảy mầm kém
Sắn,Độ ẩm thấp,Tỉa thưa cây con,Giúp cây tránh cháy lá
Mía,Nhiệt độ dao động mạnh trong ngày,Dừng bón phân đạm,Bảo vệ cây khỏi thiếu nước
Lúa,Trời âm u,Trì hoãn gieo trồng,Giảm nguy cơ thiếu nước
Ớt,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Giảm nguy cơ sốc nhiệt
Mía,Trời nhiều mây,Dừng bón phân đạm,Hạn chế ảnh hưởng của rụng hoa
Rau màu,Nhiệt độ thấp < 15°C,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với cháy lá
Cải bẹ,Trời nhiều mây,Bắt sâu thủ công,Hạn chế ảnh hưởng của thối rễ
Cà chua,Mưa rào nhẹ,Phun thuốc phòng bệnh,Bảo vệ cây khỏi ngập úng
Đậu phụng,Sương mù dày,Phun thuốc phòng bệnh,Giúp cây tránh suy kiệt
Ngô,Nhiệt độ thấp < 15°C,Tưới nhỏ giọt,Giảm nguy cơ nảy mầm kém
Bắp cải,Trời nhiều mây,Bón vôi cải tạo đất,Bảo vệ cây khỏi thiếu nước
Mía,Trời nhiều mây,Bắt sâu thủ công,Tăng khả năng chống chịu với thiếu nước
Dưa hấu,Trời nhiều mây,Tưới nước định kỳ,Giảm nguy cơ héo rũ
Xoài,Gió mạnh,Tưới nước định kỳ,Giúp cây tránh suy kiệt
Ngô,Trời lạnh buổi sáng,Tưới nhỏ giọt,Hạn chế ảnh hưởng của héo rũ
Sắn,Sương mù dày,Tỉa thưa cây con,Giảm nguy cơ vàng lá
Cải bẹ,Trời lạnh buổi sáng,Dừng bón phân đạm,Giảm nguy cơ suy kiệt
Chuối,Trời lạnh buổi sáng,Tỉa thưa cây con,Hạn chế ảnh hưởng của héo rũ
Cải bẹ,Nhiệt độ cao > 35°C,Tưới nước định kỳ,Giảm nguy cơ thối rễ
Cải bẹ,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Giúp cây tránh thiếu nước
Cà tím,Gió mạnh,Tăng cường thoát nước,Giảm nguy cơ thối rễ
Cải bẹ,Trời nhiều mây,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi héo rũ
Cà tím,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với đạo ôn
Dưa hấu,Độ ẩm thấp,Theo dõi sát thời tiết,Bảo vệ cây khỏi héo rũ
Thanh long,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Tăng khả năng chống chịu với suy kiệt
Rau màu,Độ ẩm không khí cao,Tưới nước định kỳ,Giảm nguy cơ đạo ôn
Dưa leo,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giảm nguy cơ thiếu nước
Cà tím,Có áp thấp nhiệt đới,Bắt sâu thủ công,Giảm nguy cơ sâu xanh
Mía,Trời nhiều mây,Tăng cường thoát nước,Bảo vệ cây khỏi sâu xanh
Mía,Nhiệt độ dao động mạnh trong ngày,Tỉa thưa cây con,Bảo vệ cây khỏi rụng hoa
Lúa,Mưa rào nhẹ,Bắt sâu thủ công,Giúp cây tránh suy kiệt
Đậu phụng,Độ ẩm không khí cao,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của cháy lá
Cải bẹ,Nhiều ngày nắng,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của suy kiệt
Ngô,Nắng nhẹ sau mưa,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi rụng hoa
Bắp cải,Nhiệt độ cao > 35°C,Theo dõi sát thời tiết,Giảm nguy cơ ngập úng
Ớt,Nhiệt độ dao động mạnh trong ngày,Phun chế phẩm sinh học,Bảo vệ cây khỏi sốc nhiệt
Ớt,Trời lạnh buổi sáng,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với vàng lá
Ngô,Nhiệt độ thấp < 15°C,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của thiếu nước
Mía,Nắng gắt,Bắt sâu thủ công,Giúp cây tránh đạo ôn
Xoài,Nắng nhẹ sau mưa,Tưới nước định kỳ,Giúp cây tránh nảy mầm kém
Đậu phụng,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Giúp cây tránh sốc nhiệt
Cà tím,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh cháy lá
Dưa hấu,Độ ẩm thấp,Tỉa thưa cây con,Tăng khả năng chống chịu với sâu xanh
Sắn,Gió mạnh,Dừng bón phân đạm,Hạn chế ảnh hưởng của vàng lá
Cà tím,Mưa rào nhẹ,Theo dõi sát thời tiết,Tăng khả năng chống chịu với cháy lá
Bắp cải,Gió mạnh,Trì hoãn gieo trồng,Bảo vệ cây khỏi sâu xanh
Cải bẹ,Độ ẩm thấp,Che chắn bằng lưới,Hạn chế ảnh hưởng của cháy lá
Bắp cải,Có áp thấp nhiệt đới,Đào mương xung quanh ruộng,Giúp cây tránh ngập úng
Cải bẹ,Nắng gắt,Che chắn bằng lưới,Tăng khả năng chống chịu với nấm bệnh
Cà tím,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh thối rễ
Dưa leo,Trời âm u,Tỉa thưa cây con,Giúp cây tránh vàng lá
Xoài,Sương mù dày,Phun chế phẩm sinh học,Giúp cây tránh suy kiệt
Mía,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Giúp cây tránh bạc lá
Thanh long,Nhiều ngày nắng,Tưới nhỏ giọt,Giúp cây tránh nấm bệnh
Cải bẹ,Mưa lớn,Dừng bón phân đạm,Hạn chế ảnh hưởng của cháy lá
Rau màu,Sương mù dày,Che chắn bằng lưới,Bảo vệ cây khỏi thiếu nước
Mía,Mưa rào nhẹ,Dừng bón phân đạm,Hạn chế ảnh hưởng của sốc nhiệt
Xoài,Sương mù dày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của héo rũ
Đậu phụng,Độ ẩm thấp,Phun chế phẩm sinh học,Tăng khả năng chống chịu với nảy mầm kém
Dưa leo,Nhiều ngày nắng,Bón phân hữu cơ,Giảm nguy cơ nấm bệnh
Cải bẹ,Mưa lớn,Tỉa thưa cây con,Bảo vệ cây khỏi sâu xanh
Dưa hấu,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ sốc nhiệt
Rau màu,Có áp thấp nhiệt đới,Che chắn bằng lưới,Hạn chế ảnh hưởng của sốc nhiệt
Cải bẹ,Có áp thấp nhiệt đới,Bón vôi cải tạo đất,Bảo vệ cây khỏi đạo ôn
Thanh long,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Tăng khả năng chống chịu với rụng hoa
Ngô,Gió mạnh,Theo dõi sát thời tiết,Giảm nguy cơ vàng lá
Sắn,Sương mù dày,Bón phân hữu cơ,Giúp cây tránh bạc lá
Ớt,Nắng nhẹ sau mưa,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của thiếu nước
Thanh long,Nhiều ngày nắng,Tỉa thưa cây con,Giúp cây tránh sâu xanh
Thanh long,Nhiều ngày nắng,Bắt sâu thủ công,Hạn chế ảnh hưởng của rụng hoa
Cà tím,Nhiệt độ cao > 35°C,Tưới nhỏ giọt,Bảo vệ cây khỏi cháy lá
Sắn,Nhiệt độ cao > 35°C,Bắt sâu thủ công,Bảo vệ cây khỏi héo rũ
Rau màu,Nhiều ngày nắng,Tỉa thưa cây con,Hạn chế ảnh hưởng của suy kiệt
Ớt,Sương mù dày,Phun chế phẩm sinh học,Giảm nguy cơ cháy lá
Cải bẹ,Nhiều ngày nắng,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của cháy lá
Dưa leo,Sương mù dày,Phun chế phẩm sinh học,Giúp cây tránh rụng hoa
Cà chua,Mưa rào nhẹ,Bắt sâu thủ công,Hạn chế ảnh hưởng của thiếu nước
Ớt,Nắng gắt,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của bạc lá
Cà chua,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Tăng khả năng chống chịu với thối rễ
Đậu phụng,Sương mù dày,Phun thuốc phòng bệnh,Giúp cây tránh nấm bệnh
Chuối,Nắng gắt,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với vàng lá
Dưa leo,Gió mạnh,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với suy kiệt
Rau màu,Nhiều ngày nắng,Trì hoãn gieo trồng,Bảo vệ cây khỏi cháy lá
Thanh long,Nhiệt độ cao > 35°C,Che chắn bằng lưới,Bảo vệ cây khỏi đạo ôn
Cà tím,Nắng gắt,Tưới nước định kỳ,Tăng khả năng chống chịu với héo rũ
Mía,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của ngập úng
Lúa,Nhiệt độ dao động mạnh trong ngày,Phun chế phẩm sinh học,Tăng khả năng chống chịu với thiếu nước
Chuối,Nhiệt độ cao > 35°C,Phun thuốc phòng bệnh,Bảo vệ cây khỏi héo rũ
Xoài,Trời âm u,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh thối rễ
Đậu phụng,Nắng gắt,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của vàng lá
Cà tím,Có áp thấp nhiệt đới,Bắt sâu thủ công,Giảm nguy cơ thối rễ
Cải bẹ,Sương mù dày,Trì hoãn gieo trồng,Bảo vệ cây khỏi cháy lá
Cà chua,Độ ẩm không khí cao,Trì hoãn gieo trồng,Tăng khả năng chống chịu với vàng lá
Sắn,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Tăng khả năng chống chịu với vàng lá
Cải bẹ,Trời nhiều mây,Dừng bón phân đạm,Hạn chế ảnh hưởng của thối rễ
Chuối,Nhiều ngày nắng,Tưới nước định kỳ,Bảo vệ cây khỏi héo rũ
Dưa leo,Độ ẩm không khí cao,Dừng bón phân đạm,Giúp cây tránh vàng lá
Lúa,Mưa lớn,Dừng bón phân đạm,Giúp cây tránh rụng hoa
Sắn,Nắng gắt,Bón vôi cải tạo đất,Tăng khả năng chống chịu với thối rễ
Đậu phụng,Nhiệt độ thấp < 15°C,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của sâu xanh
Xoài,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Bảo vệ cây khỏi sâu xanh
Chuối,Độ ẩm không khí cao,Bắt sâu thủ công,Hạn chế ảnh hưởng của sâu xanh
Sắn,Nắng nhẹ sau mưa,Bón vôi cải tạo đất,Tăng khả năng chống chịu với cháy lá
Dưa hấu,Mưa rào nhẹ,Bón phân hữu cơ,Giảm nguy cơ vàng lá
Cà tím,Gió mạnh,Bón phân hữu cơ,Hạn chế ảnh hưởng của rụng hoa
Cà tím,Nắng nhẹ sau mưa,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của rụng hoa
Mía,Nắng gắt,Phun chế phẩm sinh học,Bảo vệ cây khỏi suy kiệt
Sắn,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Giúp cây tránh rụng hoa
Dưa hấu,Nhiệt độ thấp < 15°C,Đào mương xung quanh ruộng,Giúp cây tránh sốc nhiệt
Cà tím,Có áp thấp nhiệt đới,Bắt sâu thủ công,Giảm nguy cơ nấm bệnh
Mía,Nhiệt độ thấp < 15°C,Theo dõi sát thời tiết,Giúp cây tránh cháy lá
Cà chua,Nhiệt độ thấp < 15°C,Che phủ rơm/gỗ mục,Giúp cây tránh rụng hoa
Dưa leo,Gió mạnh,Đào mương xung quanh ruộng,Bảo vệ cây khỏi rụng hoa
Dưa leo,Nhiệt độ cao > 35°C,Bón vôi cải tạo đất,Giảm nguy cơ đạo ôn
Xoài,Nắng nhẹ sau mưa,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của ngập úng
Đậu phụng,Sương mù dày,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với sâu xanh
Thanh long,Độ ẩm không khí cao,Phun chế phẩm sinh học,Giảm nguy cơ nấm bệnh
Ớt,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với sốc nhiệt
Cà chua,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Giúp cây tránh vàng lá
Cà chua,Trời nhiều mây,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của đạo ôn
Bắp cải,Gió mạnh,Trì hoãn gieo trồng,Tăng khả năng chống chịu với héo rũ
Dưa hấu,Nhiệt độ thấp < 15°C,Đào mương xung quanh ruộng,Giảm nguy cơ sốc nhiệt
Sắn,Nắng gắt,Bắt sâu thủ công,Bảo vệ cây khỏi suy kiệt
Đậu phụng,Nắng nhẹ sau mưa,Tưới nhỏ giọt,Bảo vệ cây khỏi rụng hoa
Chuối,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh thối rễ
Xoài,Nhiều ngày nắng,Bón vôi cải tạo đất,Giúp cây tránh suy kiệt
